# author : alaettin.serhan.mete@cern.ch (please report any problems)
# date   : 02/05/2016
# update :
# brief  : Based on https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVstopsbottom 
DSID     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
387940   61       36.3818          1.0          0.047671     0.142189  
387941   61       21.5949          1.0          0.076733     0.140595
387942   61       21.5949          1.0          0.059686     0.140595
387943   61       21.5949          1.0          0.048089     0.140595 
387944   61       13.3231          1.0          0.077709     0.142549
387945   61       13.3231          1.0          0.060013     0.142549
387946   61       13.3231          1.0          0.048401     0.142549
387947   61       8.51615          1.0          0.078449     0.139223
387948   61       8.51615          1.0          0.060136     0.139223
387949   61       8.51615          1.0          0.048558     0.139223
387950   61       5.60471          1.0          0.078462     0.138144
387951   61       5.60471          1.0          0.060281     0.138144
387952   61       5.60471          1.0          0.048953     0.138144
387953   61       3.78661          1.0          0.079579     0.136877
387954   61       3.78661          1.0          0.061046     0.136877
387955   61       3.78661          1.0          0.049156     0.136877
387956   61       2.61162          1.0          0.078845     0.138477
387957   61       2.61162          1.0          0.060905     0.138477
387958   61       2.61162          1.0          0.050053     0.138477
387959   61       1.83537          1.0          0.079979     0.136985
387960   61       1.83537          1.0          0.061334     0.136985
387961   61       1.83537          1.0          0.049452     0.136985
387962   61       64.5085          1.0          0.243310     0.144098
387963   61       21.5949          1.0          0.356640     0.140595
387964   61       21.5949          1.0          0.296900     0.140595
387965   61       21.5949          1.0          0.254950     0.140595
387966   61       8.51615          1.0          0.434440     0.139223
387967   61       8.51615          1.0          0.362640     0.139223
387968   61       8.51615          1.0          0.310460     0.139223
387969   61       3.78661          1.0          0.489000     0.136877
387970   61       3.78661          1.0          0.412980     0.136877
387971   61       3.78661          1.0          0.354780     0.136877
387972   61       1.83537          1.0          0.529070     0.136985
387973   61       1.83537          1.0          0.449530     0.136985
387974   61       1.83537          1.0          0.392110     0.136985
387975   61       0.948333         1.0          0.562240     0.134559
387976   61       0.948333         1.0          0.481070     0.134559
387977   61       0.948333         1.0          0.420120     0.134559
387978   61       0.51848          1.0          0.580650     0.133797
387979   61       0.51848          1.0          0.503400     0.133797
387980   61       0.51848          1.0          0.440410     0.133797
387981   61       0.296128         1.0          0.603440     0.132687
387982   61       0.296128         1.0          0.520580     0.132687
387983   61       0.296128         1.0          0.459160     0.132687
387984   61       0.174599         1.0          0.620700     0.132074
387985   61       0.174599         1.0          0.536400     0.132074
387986   61       0.174599         1.0          0.475270     0.132074
387987   61       0.107045         1.0          0.638900     0.129232
387988   61       0.107045         1.0          0.552940     0.129232
387989   61       0.107045         1.0          0.484290     0.129232
387991   61       1.31169          1.0          0.079369     0.135013
387992   61       1.31169          1.0          0.060306     0.135013
387993   61       1.31169          1.0          0.049720     0.135013
387994   61       0.948333         1.0          0.079875     0.134559
387995   61       0.948333         1.0          0.060408     0.134559
387996   61       0.948333         1.0          0.049122     0.134559
387997   61       21.5949          1.0          0.64444      0.140595
387998   61       8.51615          1.0          0.77173      0.139223
387999   61       3.78661          1.0          0.85122      0.136877
