SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
370100      2      0.6774779078   1.00000000    1.00000000   0.15876178
370101      2      0.6774779078   1.00000000    1.00000000   0.15876178
370102      2      0.6774779078   1.00000000    1.00000000   0.15876178
370103      2      0.6774779078   1.00000000    1.00000000   0.15876178
370104      2      0.3253876883   1.00000000    1.00000000   0.16758000
370105      2      0.3253876883   1.00000000    1.00000000   0.16758000
370106      2      0.3253876883   1.00000000    1.00000000   0.16758000
370107      2      0.3253876883   1.00000000    1.00000000   0.16758000
370108      2      0.3253876883   1.00000000    1.00000000   0.16758000
370109      2      0.1634905706   1.00000000    1.00000000   0.17640239
370110      2      0.1634905706   1.00000000    1.00000000   0.17640239
370111      2      0.1634905706   1.00000000    1.00000000   0.17640239
370112      2      0.1634905706   1.00000000    1.00000000   0.17640239
370113      2      0.1634905706   1.00000000    1.00000000   0.17640239
370114      2      0.0856417975   1.00000000    1.00000000   0.18481426
370115      2      0.0856417975   1.00000000    1.00000000   0.18481426
370116      2      0.0856417975   1.00000000    1.00000000   0.18481426
370117      2      0.0856417975   1.00000000    1.00000000   0.18481426
370118      2      0.0856417975   1.00000000    1.00000000   0.18481426
370119      2      0.0856417975   1.00000000    1.00000000   0.18481426
370120      2      0.0856417975   1.00000000    1.00000000   0.18481426
370121      2      0.0856417975   1.00000000    1.00000000   0.18481426
370122      2      0.0856417975   1.00000000    1.00000000   0.18481426
370123      2      0.0459823026   1.00000000    1.00000000   0.19822566
370124      2      0.0459823026   1.00000000    1.00000000   0.19822566
370125      2      0.0459823026   1.00000000    1.00000000   0.19822566
370126      2      0.0459823026   1.00000000    1.00000000   0.19822566
370127      2      0.0459823026   1.00000000    1.00000000   0.19822566
370128      2      0.0459823026   1.00000000    1.00000000   0.19822566
370129      2      0.0252601268   1.00000000    1.00000000   0.21096327
370130      2      0.0252601268   1.00000000    1.00000000   0.21096327
370131      2      0.0252601268   1.00000000    1.00000000   0.21096327
370132      2      0.0252601268   1.00000000    1.00000000   0.21096327
370133      2      0.0252601268   1.00000000    1.00000000   0.21096327
370134      2      0.0252601268   1.00000000    1.00000000   0.21096327
370135      2      0.0252601268   1.00000000    1.00000000   0.21096327
370136      2      0.0252601268   1.00000000    1.00000000   0.21096327
370137      2      0.0141714505   1.00000000    1.00000000   0.22892537
370138      2      0.0141714505   1.00000000    1.00000000   0.22892537
370139      2      0.0141714505   1.00000000    1.00000000   0.22892537
370140      2      0.0141714505   1.00000000    1.00000000   0.22892537
